ChargingStationCode,OccupancyTime0(seconds),OccupancyTime1(seconds),OccupancyTime2(seconds),OccupancyTime3(seconds),OccupancyTime4(seconds),OccupancyTime5(seconds),OccupancyTime6(seconds),OccupancyTime7(seconds),OccupancyTime8(seconds),OccupancyTime9(seconds),OccupancyTime10(seconds),OccupancyTime11(seconds),OccupancyTime12(seconds),OccupancyTime13(seconds),OccupancyTime14(seconds),OccupancyTime15(seconds),OccupancyTime16(seconds),OccupancyTime17(seconds),OccupancyTime18(seconds),OccupancyTime19(seconds),OccupancyTime20(seconds),OccupancyTime21(seconds),OccupancyTime22(seconds),OccupancyTime23(seconds)
CS00,3420.33,5368.62,5368.62,13941.01,13941.01,21474.37,25741.52712965978,29436.02,33026.64909864594,35653.023962172374,40796.42117124361,44796.81609465001,47809.17874744876,51352.04239123046,54922.35821222266,57933.50724515571,61616.021086338355,64961.819174621756,68959.58371368692,73089.34132031462,76905.59510988563,80708.80928969457,83173.28958454213,87508.27620995109
CS02,4177.213563141,7596.411965368625,11466.285617383324,14960.712444380142,17902.81441738781,20849.461982971898,25574.30954049055,29296.013539939635,33015.37126858983,37364.84198612884,41123.55655979797,44655.31156280173,48674.80623299088,52342.671027539756,54274.966317583676,58393.8897927974,62212.309778613744,64991.71052653927,69463.63599187322,73070.54067740757,76787.65112535129,80819.96146843724,83918.23718778652,87232.97211962451
CS04,3605.2234585414576,8055.468719417688,11038.490266233737,15091.288524821439,18578.109638218484,22183.762598810947,24402.05759409806,29892.71321621017,33323.65440678349,37021.555280053944,41381.11003178383,44680.610534754946,48469.851598839945,52304.21078084684,54698.990487975425,58291.991101884705,61897.47962756765,65132.26243768776,69792.10953398282,73410.43971865886,76467.9417050564,80808.70303764804,83279.62171332298,87293.99493036982
CS06,4348.316113081624,6556.716019729721,11535.848485112574,15230.395446892067,15711.752567876098,22206.84599003763,25993.40088327925,28945.20448694475,33041.301753657026,37539.00270823388,41099.43774095588,44998.4050721418,48660.76632427133,52012.12883238507,54941.343843268434,58391.63802843169,61999.359987240176,65508.67019119097,69548.00643728008,73356.74620372933,77464.75115197257,80952.15060380763,83454.35738878894,86490.89420591257
CS08,3484.9860066971114,8134.687327882648,10328.416739248678,14514.191003506463,18691.882659354644,21684.764777430268,24797.58990009451,29344.230236498035,33240.9232498214,37172.522056350404,41440.70924149586,45193.07619311291,48841.75905766036,51724.927736014775,54480.418231268784,57306.200873691276,62135.03997023995,65667.59504920896,69821.78019276388,73527.42406747234,77427.79276812084,79793.90022622557,83852.69016925203,87445.15534111018
CS20,2335.50288,7327.331199264303,11371.770210478982,14878.396532954435,18065.94819481175,22442.51510496269,25665.39690504539,29067.749189784034,33314.10780293794,37261.40650815495,41310.03443163478,44438.50900559987,48839.67030298684,52051.709547266146,55106.404018363755,57891.130878970274,62150.03768783697,65508.88896905535,69468.74604076648,73108.13129922021,76847.65921010128,80691.29374321595,83656.72708820726,87137.08655024462
CS22,4402.693415275642,8163.165447091622,11044.60134012352,15350.587206445136,18103.40644794065,22474.426438596878,25895.367341571164,29407.68547926567,33232.17781724356,37085.774965993005,41069.48177892482,45318.80300754721,48163.81371171699,52470.40006184262,55010.51239818646,58295.10135383686,62141.828509217376,65741.31295422462,69650.6610638437,73499.06727330221,77336.18109343958,80707.64915379074,83807.52922527722,87488.6070336491
CS24,4290.351655789561,8346.163958483605,11874.819905209984,14889.671078855261,18651.51898391143,22430.147985734056,26256.59213062277,29321.645738978492,33519.89235071996,37164.643295907794,41453.743160783975,44666.018583465084,48944.838036711866,52004.85046152978,55573.13098611305,58281.83478293246,62299.229435142246,65904.89590916285,69433.55195608681,73953.06204576271,77241.94721741077,80937.11464170233,83753.16459244333,87691.68868760658
CS26,4173.430635970494,7652.441267396177,10452.915069859215,15029.005640484807,18817.65585321858,22374.561993222145,26039.230335643624,29802.528936770577,33390.15693670219,37186.5885518733,41529.08465813182,45215.28585158975,48778.601208931716,52461.02201469135,55381.17123910799,58081.615150777085,62322.259178230226,65974.20795625243,69894.55516419967,73994.83659258173,77688.38880099979,80211.61902621643,84413.10036416128,87311.70602797561
CS28,3819.387063696536,8143.052779387402,11337.93361776609,15256.027022782537,18571.06960797714,22141.592920599927,25634.976375417056,29525.165186188806,33606.47909464057,37368.20313824813,41481.795031473965,44933.21730147178,48553.30507972783,52214.29645630644,55477.73222306445,58774.117786822004,62088.88704357757,65813.59163098231,69731.25990346506,73319.37004365915,77698.50018790476,80741.59568832205,83556.6111838317,87517.51823504624
